MapDist,Boolean Total,Fuzzy Total,Difference
MapDist69,140.22077847198184,139.58883285706645,-0.631945614915395
MapDist70,138.6090247380704,137.90791104388828,-0.7011136941821121
MapDist71,138.65540761801594,138.18929523267582,-0.466112385340125
MapDist72,141.83148455673424,141.2758100350307,-0.555674521703537
MapDist73,139.07647647552608,138.79283434737206,-0.283642128154014
MapDist74,142.3825414181511,141.74469434559362,-0.6378470725574914
MapDist75,140.16576459249183,139.63380576137826,-0.5319588311135703
MapDist76,140.6482645143812,140.05328333803908,-0.5949811763421167
MapDist77,139.30741777870784,138.4249421893436,-0.8824755893642475
MapDist78,140.73507245109184,140.51507293550662,-0.21999951558521502
MapDist79,142.07272887732165,141.5725075101855,-0.500221367136163
MapDist80,138.8389922616298,138.58554664712875,-0.25344561450106085
MapDist81,139.26847817147612,138.87930639703788,-0.389171774438239
MapDist82,140.2757925547828,139.70359438779568,-0.5721981669871354
MapDist83,140.91359287042482,140.40346094028234,-0.510131930142478
MapDist84,139.94216158991537,139.573938481065,-0.3682231088503727
MapDist85,138.4268151731419,137.9973596383236,-0.42945553481831666
MapDist86,139.88921393780475,139.39399132214447,-0.4952226156602819
MapDist87,139.04171123655178,138.59430997327382,-0.4474012632779534
MapDist88,140.72324474337353,140.64496757262768,-0.07827717074584939
MapDist89,140.19658848582287,139.67780510343925,-0.5187833823836172
MapDist90,139.4103031597569,139.28632616551755,-0.12397699423934228
